mapper, machine, page size, percent accesses, num threads, cost
random_mapper 4, asym_3, 20, 0.1, 64, 5602833
random_mapper 5, asym_3, 20, 0.1, 64, 5729352
random_mapper 6, asym_3, 20, 0.1, 64, 5830719
random_mapper 7, asym_3, 20, 0.1, 64, 5639472
random_mapper 8, asym_3, 20, 0.1, 64, 5678394
random_mapper 9, asym_3, 20, 0.1, 64, 5554725
random_mapper 10, asym_3, 20, 0.1, 64, 5368855
random_mapper 11, asym_3, 20, 0.1, 64, 5691599
random_mapper 12, asym_3, 20, 0.1, 64, 5736730
random_mapper 13, asym_3, 20, 0.1, 64, 5609931
random_mapper 14, asym_3, 20, 0.1, 64, 5619193
random_mapper 15, asym_3, 20, 0.1, 64, 5624678
random_mapper 16, asym_3, 20, 0.1, 64, 5259175
random_mapper 17, asym_3, 20, 0.1, 64, 5512813
random_mapper 0, asym_4, 20, 0.1, 64, 5613586
random_mapper 1, asym_4, 20, 0.1, 64, 5416711
random_mapper 2, asym_4, 20, 0.1, 64, 5719735
random_mapper 3, asym_4, 20, 0.1, 64, 5532652
random_mapper 4, asym_4, 20, 0.1, 64, 5607359
random_mapper 5, asym_4, 20, 0.1, 64, 5716590
random_mapper 6, asym_4, 20, 0.1, 64, 5854181
random_mapper 7, asym_4, 20, 0.1, 64, 5639052
random_mapper 8, asym_4, 20, 0.1, 64, 5675420
random_mapper 9, asym_4, 20, 0.1, 64, 5529699
random_mapper 10, asym_4, 20, 0.1, 64, 5342503
random_mapper 11, asym_4, 20, 0.1, 64, 5688325
random_mapper 12, asym_4, 20, 0.1, 64, 5781170
random_mapper 13, asym_4, 20, 0.1, 64, 5596305
random_mapper 14, asym_4, 20, 0.1, 64, 5604293
random_mapper 15, asym_4, 20, 0.1, 64, 5623520
random_mapper 16, asym_4, 20, 0.1, 64, 5208179
random_mapper 17, asym_4, 20, 0.1, 64, 5496509
random_mapper 0, asym_max, 20, 0.1, 64, 5553920
random_mapper 1, asym_max, 20, 0.1, 64, 5360395
random_mapper 2, asym_max, 20, 0.1, 64, 5672375
random_mapper 3, asym_max, 20, 0.1, 64, 5469815
random_mapper 4, asym_max, 20, 0.1, 64, 5579780
random_mapper 5, asym_max, 20, 0.1, 64, 5673900
random_mapper 6, asym_max, 20, 0.1, 64, 5850670
random_mapper 7, asym_max, 20, 0.1, 64, 5609990
random_mapper 8, asym_max, 20, 0.1, 64, 5641350
random_mapper 9, asym_max, 20, 0.1, 64, 5473855
random_mapper 10, asym_max, 20, 0.1, 64, 5279060
random_mapper 11, asym_max, 20, 0.1, 64, 5652300
random_mapper 12, asym_max, 20, 0.1, 64, 5795475
random_mapper 13, asym_max, 20, 0.1, 64, 5548025
random_mapper 14, asym_max, 20, 0.1, 64, 5559960
random_mapper 15, asym_max, 20, 0.1, 64, 5591300
random_mapper 16, asym_max, 20, 0.1, 64, 5121080
random_mapper 17, asym_max, 20, 0.1, 64, 5441955
