 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
15,297016,297558,316528,325742,324116,347964,6360972,73079656,6312192,299726,293764,301894,291596,288886,22791054,0,22802978,311108,323574,366392,448776,356094,2816528,29070653,2799184,289970,290512,283466,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878
16,306332,306891,326456,335959,334282,358878,372294,6321425,91597996,8809127,302978,311363,300742,297947,300183,22802978,0,35320866,333723,377884,462852,367263,326456,2821425,66083583,7799065,299624,292357,284531,284531,284531,284531,287885,287885,284531,284531,284531,284531,284531,284531,287885,287885,284531,284531,284531,284531,284531,284531,287885,287885,284531,284531,284531,284531,284531,284531,287885,287885,284531,284531,284531,284531,284531,284531
17,314552,315126,335216,344974,343252,368508,382284,330050,8830624,75592437,2811108,319718,308812,305942,308238,311108,35320866,0,12842678,388024,475272,377118,335216,330050,7816848,76333102,5307664,300202,292166,292166,292166,292166,295610,295610,292166,292166,292166,292166,292166,292166,295610,295610,292166,292166,292166,292166,292166,292166,295610,295610,292166,292166,292166,292166,292166,292166,295610,295610,292166,292166,292166,292166,292166,292166
18,327156,327753,348648,358797,357006,383274,397602,343275,343872,2830141,29082577,2832529,321186,318201,320589,323574,333723,12842678,0,12903572,494316,392229,348648,343275,329544,5319395,57837998,5312231,303873,303873,303873,303873,307455,307455,303873,303873,303873,303873,303873,303873,307455,307455,303873,303873,303873,303873,303873,303873,307455,307455,303873,303873,303873,303873,303873,303873,307455,307455,303873,303873,303873,303873,303873,303873
19,370448,371124,394784,406276,404248,433992,450216,388700,389376,373828,2866392,29135535,2863688,360308,363012,366392,377884,388024,12903572,0,13059728,444132,394784,388700,373152,361660,5362336,57871554,5344084,344084,344084,344084,348140,348140,344084,344084,344084,344084,344084,344084,348140,348140,344084,344084,344084,344084,344084,344084,348140,348140,344084,344084,344084,344084,344084,344084,348140,348140,344084,344084,344084,344084,344084,344084
20,453744,454572,483552,497628,495144,531576,551448,476100,476928,457884,448776,2961196,29204467,2941324,444636,448776,462852,475272,494316,13059728,0,13043996,483552,476100,457056,442980,443808,5433044,57939458,5421452,421452,421452,426420,426420,421452,421452,421452,421452,421452,421452,426420,426420,421452,421452,421452,421452,421452,421452,426420,426420,421452,421452,421452,421452,421452,421452,426420,426420,421452,421452,421452,421452,421452,421452
21,360036,360693,383688,394857,392886,421794,437562,377775,378432,363321,356094,365949,2853466,29109184,2852809,356094,367263,377118,392229,444132,13043996,0,12883688,377775,362664,351495,352152,343611,5334413,57852419,5334413,334413,338355,338355,334413,334413,334413,334413,334413,334413,338355,338355,334413,334413,334413,334413,334413,334413,338355,338355,334413,334413,334413,334413,334413,334413,338355,338355,334413,334413,334413,334413,334413,334413
22,320032,320616,341056,350984,349232,374928,388944,335800,336384,322952,316528,325288,314192,2811272,29072611,2816528,326456,335216,348648,394784,483552,12883688,0,12835800,322368,312440,313024,305432,297256,5297256,57815262,5297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256
23,315100,315675,335800,345575,343850,369150,382950,330625,331200,317975,311650,320275,309350,306475,2808775,29070653,2821425,330050,343275,388700,476100,377775,12835800,0,12817400,307625,308200,300725,292675,292675,5292675,57810681,5296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675
24,302496,303048,322368,331752,330096,354384,367632,317400,317952,305256,299184,307464,296976,294216,296424,2799184,66083583,7816848,329544,373152,457056,362664,322368,12817400,0,24295320,295872,288696,280968,280968,280968,5280968,68802286,6534280,280968,280968,280968,280968,280968,280968,784280,284280,280968,280968,280968,280968,280968,280968,284280,284280,280968,280968,280968,280968,280968,280968,284280,284280,280968,280968,280968,280968,280968,280968
25,293180,293715,312440,321535,319930,343470,356310,307625,308160,295855,289970,297995,287830,285155,287295,289970,7799065,76333102,5319395,361660,442980,351495,312440,307625,24295320,0,11786760,279805,272315,272315,272315,272315,6525525,55041537,1522315,272315,272315,272315,272315,272315,275525,1025525,272315,272315,272315,272315,272315,272315,275525,275525,272315,272315,272315,272315,272315,272315,275525,275525,272315,272315,272315,272315,272315,272315
26,293728,294264,313024,322136,320528,344112,356976,308200,308736,296408,290512,298552,288368,285688,287832,290512,299624,5307664,57837998,5362336,443808,352152,313024,308200,295872,11786760,0,11780328,272824,272824,272824,272824,276040,1526040,18022824,1522824,272824,272824,272824,272824,276040,276040,1022824,272824,272824,272824,272824,272824,276040,276040,272824,272824,272824,272824,272824,272824,276040,276040,272824,272824,272824,272824,272824,272824
27,286604,287127,305432,314323,312754,335766,348318,300725,301248,289219,283466,291311,281374,278759,280851,283466,292357,300202,5312231,57871554,5433044,343611,305432,300725,288696,279805,11780328,0,11766207,266207,266207,266207,269345,269345,1516207,18016207,1516207,266207,266207,266207,269345,269345,266207,1016207,266207,266207,266207,266207,269345,269345,266207,266207,266207,266207,266207,266207,269345,269345,266207,266207,266207,266207,266207,266207
28,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,5344084,57939458,5334413,297256,292675,280968,272315,272824,11766207,0,11759081,259081,259081,262135,262135,259081,1509081,18009081,1509081,259081,259081,262135,262135,259081,259081,1009081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
29,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,5421452,57852419,5297256,292675,280968,272315,272824,266207,11759081,0,11759081,259081,262135,262135,259081,259081,1509081,18009081,1509081,259081,262135,262135,259081,259081,259081,1009081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
30,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,5334413,57815262,5292675,280968,272315,272824,266207,259081,11759081,0,11759081,262135,262135,259081,259081,259081,1509081,18009081,1509081,262135,262135,259081,259081,259081,259081,1009081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
