 ,0,1,2,3,4,5,6,7
0,0,22003948,435426,21910324,1422568,22082964,483898,21898372
1,22003948,0,21976022,947352,24460044,1138972,529823,434086
2,435426,21976022,0,386346,897332,22051706,457485,374898
3,21910324,947352,386346,0,24373752,518276,21929854,852588
4,1422568,24460044,897332,24373752,0,24532872,942008,24362736
5,22082964,1138972,22051706,518276,24532872,0,614194,1002868
6,483898,529823,457485,21929854,942008,614194,0,21917092
7,21898372,434086,374898,852588,24362736,1002868,21917092,0
