 ,0,1,2,3,4,5,6,7
0,0,52183102,39141796,195124662,10588112,195339422,38200596,48551768
1,52183102,0,52092959,5567322,215648844,5782342,5158836,41101990
2,39141796,52092959,0,491862,5510504,195236308,566430,4984462
3,195124662,5567322,491862,0,55488432,648956,195099966,5458248
4,10588112,215648844,5510504,55488432,0,55673552,5562480,215535636
5,195339422,5782342,195236308,648956,55673552,0,747340,5631928
6,38200596,5158836,566430,195099966,5562480,747340,0,48527720
7,48551768,41101990,4984462,5458248,215535636,5631928,48527720,0
