 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,21347137,379456,883992,24073890,1060282,311983,317086,343735,397033,468475,2616982,20580029,820488,320488,20055179
1,21347137,0,21406721,411585,1097137,26832545,1084369,339841,368417,425569,502177,393345,848353,15093489,843489,327073
2,379456,21406721,0,21449946,379456,1113496,26865491,1121476,402731,465241,549031,429996,380786,875466,15125466,857511
3,883992,411585,21449946,0,19133992,367840,1119859,26875916,1157547,470809,555607,435140,385338,379954,879954,15111783
4,24073890,1097137,379456,19133992,0,21810282,311983,1067086,16843735,897033,468475,366982,325024,320488,320488,805179
5,1060282,26832545,1113496,367840,21810282,0,21798879,303766,829287,16880329,948747,351550,311368,307024,307024,292363
6,311983,1084369,26865491,1119859,311983,21798879,0,21805431,331093,882417,16951213,853479,313075,308707,308707,293965
7,317086,339841,1121476,26875916,1067086,303766,21805431,0,19586511,388681,958611,16859266,818196,313756,313756,298771
8,343735,368417,402731,1157547,16843735,829287,331093,19586511,0,22421393,497245,889487,65364949,2840123,340123,323869
9,397033,425569,465241,470809,897033,16880329,882417,388681,22421393,0,22574513,449929,2898425,74163864,2892857,374065
10,468475,502177,549031,555607,468475,948747,16951213,958611,497245,22574513,0,22530947,470119,2963543,74234550,2941349
11,2616982,393345,429996,435140,366982,351550,853479,16859266,889487,449929,22530947,0,20118268,363124,2863124,74116770
12,20580029,848353,380786,385338,325024,311368,313075,818196,65364949,2898425,470119,20118268,0,22321610,321610,2556247
13,820488,15093489,875466,379954,320488,307024,308707,313756,2840123,74163864,2963543,363124,22321610,0,22317122,301975
14,320488,843489,15125466,879954,320488,307024,308707,313756,340123,2892857,74234550,2863124,321610,22317122,0,22301975
15,20055179,327073,857511,15111783,805179,292363,293965,298771,323869,374065,2941349,74116770,2556247,301975,22301975,0
