 ,0,1,2,3,4,5,6,7
0,0,31683102,592242,35066636,2088112,35281396,652540,28051768
1,31683102,0,31592959,1317322,39088824,1532342,653330,552436
2,592242,31592959,0,491862,1260504,35178282,566430,478956
3,35066636,1317322,491862,0,33988432,648956,35041940,1208248
4,2088112,39088824,1260504,33988432,0,34173552,1312480,38975616
5,35281396,1532342,35178282,648956,34173552,0,747340,1381928
6,652540,653330,566430,35041940,1312480,747340,0,28027720
7,28051768,552436,478956,1208248,38975616,1381928,28027720,0
