 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,15847137,379456,883992,15573890,810282,311983,317086,343735,397033,468475,866982,14325024,820488,320488,15055179
1,15847137,0,15906721,411585,847137,16832545,834369,339841,368417,425569,502177,393345,848353,15093489,843489,327073
2,379456,15906721,0,15949946,379456,863496,16865491,871476,402731,465241,549031,429996,380786,875466,15125466,857511
3,883992,411585,15949946,0,14133992,367840,869859,16875916,907547,470809,555607,435140,385338,379954,879954,15111783
4,15573890,847137,379456,14133992,0,16810282,311983,817086,15843735,897033,468475,366982,325024,320488,320488,805179
5,810282,16832545,863496,367840,16810282,0,16798879,303766,829287,16880329,948747,351550,311368,307024,307024,292363
6,311983,834369,16865491,869859,311983,16798879,0,16805431,331093,882417,16951213,853479,313075,308707,308707,293965
7,317086,339841,871476,16875916,817086,303766,16805431,0,15086511,388681,958611,16859266,818196,313756,313756,298771
8,343735,368417,402731,907547,15843735,829287,331093,15086511,0,16921393,497245,889487,15844939,840123,340123,323869
9,397033,425569,465241,470809,897033,16880329,882417,388681,16921393,0,17074513,449929,898425,16892857,892857,374065
10,468475,502177,549031,555607,468475,948747,16951213,958611,497245,17074513,0,17030947,470119,963543,16963543,941349
11,866982,393345,429996,435140,366982,351550,853479,16859266,889487,449929,17030947,0,15118268,363124,863124,16845763
12,14325024,848353,380786,385338,325024,311368,313075,818196,15844939,898425,470119,15118268,0,16821610,321610,806247
13,820488,15093489,875466,379954,320488,307024,308707,313756,840123,16892857,963543,363124,16821610,0,16817122,301975
14,320488,843489,15125466,879954,320488,307024,308707,313756,340123,892857,16963543,863124,321610,16817122,0,16801975
15,15055179,327073,857511,15111783,805179,292363,293965,298771,323869,374065,941349,16845763,806247,301975,16801975,0
