 ,0,1,2,3,4,5,6,7
0,0,5791653,5752286,5791980,5748069,5799078,5803928,5714841
1,5791653,0,2004892,2018210,2004443,2021540,2022622,1993823
2,5752286,2004892,0,2005219,1991564,2008535,2009603,1981028
3,5791980,2018210,2005219,0,2004770,2021867,2022949,1994150
4,5748069,2004443,1991564,2004770,0,2008084,2009150,1980607
5,5799078,2021540,2008535,2021867,2008084,0,2026283,1997452
6,5803928,2022622,2009603,2022949,2009150,2026283,0,1998506
7,5714841,1993823,1981028,1994150,1980607,1997452,1998506,0
