 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,11278374,9302915,9350213,9362556,9223169,9272712,9315040,9313810,9352915,9215644,9206175,9174790,10214600,9325184,9274292
1,11278374,0,5221194,3436572,3442567,3392052,3409855,3426791,3425561,3439274,3390875,3387754,3375413,3748683,3430587,3411435
2,9302915,5221194,0,4943597,3452460,3401777,3419640,3436624,3435394,3449155,3400588,3397455,3385078,3759608,3440432,3421220
3,9350213,3436572,4943597,0,5336328,3417235,3435198,3452262,3451032,3464873,3416026,3412873,3400436,3777066,3456090,3436778
4,9362556,3442567,3452460,5336328,0,4790226,3441193,3458273,3457043,3470900,3421997,3418840,3406391,3783441,3462105,3442773
5,9223169,3392052,3401777,3417235,4790226,0,5004438,3407534,3406304,3419937,3371818,3368717,3356436,3727606,3411310,3392258
6,9272712,3409855,3419640,3435198,3441193,5004438,0,4905449,3424187,3437900,3389501,3386380,3374039,3747309,3429213,3410061
7,9315040,3426791,3436624,3452262,3458273,3407534,4905449,0,5748231,3454964,3406341,3403204,3390815,3765765,3446229,3426997
8,9313810,3425561,3435394,3451032,3457043,3406304,3424187,5748231,0,5288336,3405111,3401974,3389585,3764535,3444999,3425767
9,9352915,3439274,3449155,3464873,3470900,3419937,3437900,3454964,5288336,0,5915562,3415575,3403138,3779768,3458792,3439480
10,9215644,3390875,3400588,3416026,3421997,3371818,3389501,3406341,3405111,5915562,0,5934463,3355299,3726049,3410113,3391081
11,9206175,3387754,3397455,3412873,3418840,3368717,3386380,3403204,3401974,3415575,5934463,0,4779332,3722548,3406972,3387960
12,9174790,3375413,3385078,3400436,3406391,3356436,3374039,3390815,3389585,3403138,3355299,4779332,0,5107847,3394571,3375619
13,10214600,3748683,3759608,3777066,3783441,3727606,3747309,3765765,3764535,3779768,3726049,3722548,5107847,0,6563721,3748889
14,9325184,3430587,3440432,3456090,3462105,3411310,3429213,3446229,3444999,3458792,3410113,3406972,3394571,6563721,0,6224753
15,9274292,3411435,3421220,3436778,3442773,3392258,3410061,3426997,3425767,3439480,3391081,3387960,3375619,3748889,6224753,0
