 ,0,1,2,3,4,5,6,7
0,0,8746603,6153359,6193223,6149842,6200781,6205624,6117133
1,8746603,0,4768211,2227793,2214556,2231583,2232658,2206053
2,6153359,4768211,0,4768638,2201724,2218625,2219686,2193305
3,6193223,2227793,4768638,0,4768923,2232127,2233202,2206597
4,6149842,2214556,2201724,4768923,0,4772689,2219933,2193584
5,6200781,2231583,2218625,2232127,4772689,0,4790643,2210359
6,6205624,2232658,2219686,2233202,2219933,4790643,0,4765518
7,6117133,2206053,2193305,2206597,2193584,2210359,4765518,0
