 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,4654150,4668704,4692267,4698466,4628800,4653570,4674611,4674043,4693851,4624739,4619834,4604705,5124664,4679397,4655841
1,4654150,0,1719255,1726948,1729973,1704743,1713643,1721988,1721420,1728532,1703856,1702125,1696518,1883207,1723600,1715914
2,4668704,1719255,0,1732028,1735059,1709745,1718675,1727044,1726476,1733612,1708852,1707115,1701490,1888809,1728662,1720946
3,4692267,1726948,1732028,0,1742842,1717388,1726368,1734777,1734209,1741385,1716485,1714738,1709083,1897452,1736405,1728639
4,4698466,1729973,1735059,1742842,0,1720403,1729393,1737810,1737242,1744426,1719498,1717749,1712088,1900667,1739440,1731664
5,4628800,1704743,1709745,1717388,1720403,0,1704163,1712468,1711900,1718972,1694436,1692715,1687138,1872777,1714070,1706434
6,4653570,1713643,1718675,1726368,1729393,1704163,0,1721408,1720840,1727952,1703276,1701545,1695938,1882627,1723020,1715334
7,4674611,1721988,1727044,1734777,1737810,1712468,1721408,0,1729217,1736361,1711573,1709834,1704203,1891732,1731405,1723679
8,4674043,1721420,1726476,1734209,1737242,1711900,1720840,1729217,0,1735793,1711005,1709266,1703635,1891164,1730837,1723111
9,4693851,1728532,1733612,1741385,1744426,1718972,1727952,1736361,1735793,0,1718069,1716322,1710667,1899036,1737989,1730223
10,4624739,1703856,1708852,1716485,1719498,1694436,1703276,1711573,1711005,1718069,0,1691842,1686271,1871700,1713173,1705547
11,4619834,1702125,1707115,1714738,1717749,1692715,1701545,1709834,1709266,1716322,1691842,0,1684560,1869779,1711432,1703816
12,4604705,1696518,1701490,1709083,1712088,1687138,1695938,1704203,1703635,1710667,1686271,1684560,0,1863602,1705795,1698209
13,5124664,1883207,1888809,1897452,1900667,1872777,1882627,1891732,1891164,1899036,1871700,1869779,1863602,0,1893534,1884898
14,4679397,1723600,1728662,1736405,1739440,1714070,1723020,1731405,1730837,1737989,1713173,1711432,1705795,1893534,0,1725291
15,4655841,1715914,1720946,1728639,1731664,1706434,1715334,1723679,1723111,1730223,1705547,1703816,1698209,1884898,1725291,0
